,Graph,Adjacency_list,a,d,APG_label_availability,Vertex_labels,Edge_labels,Gurobi_runtime
519,Graph with 7 nodes and 11 edges,"[[0, 0, 0, 1, 1, 1, 1], [0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 1], [1, 0, 0, 0, 1, 1, 1], [1, 0, 0, 1, 0, 1, 1], [1, 0, 0, 1, 1, 0, 0], [1, 1, 1, 1, 1, 0, 0]]",4.0,9.0,Y,"{0: 58, 1: 40, 2: 4, 3: 31, 4: 22, 5: 13, 6: 49}","{(0, 3): 26, (0, 4): 17, (0, 5): 11, (0, 6): 3, (1, 6): 40, (2, 6): 4, (3, 4): 2, (3, 5): 1, (3, 6): 1, (4, 5): 1, (4, 6): 1}",1637.000000016542
1218,Graph with 7 nodes and 15 edges,"[[0, 0, 1, 1, 1, 1, 1], [0, 0, 0, 1, 1, 1, 1], [1, 0, 0, 0, 1, 0, 1], [1, 1, 0, 0, 0, 1, 1], [1, 1, 1, 0, 0, 1, 1], [1, 1, 0, 1, 1, 0, 0], [1, 1, 1, 1, 1, 0, 0]]",3.0,2.0,Y,"{0: 5, 1: 15, 2: 3, 3: 11, 4: 7, 5: 9, 6: 13}","{(0, 2): 1, (0, 3): 1, (0, 4): 1, (0, 5): 1, (0, 6): 1, (1, 3): 4, (1, 4): 1, (1, 5): 2, (1, 6): 7, (2, 4): 1, (2, 6): 1, (3, 5): 4, (3, 6): 1, (4, 5): 1, (4, 6): 3}",1038.9999999915744
713,Graph with 7 nodes and 14 edges,"[[0, 0, 0, 1, 1, 1, 1], [0, 0, 0, 0, 1, 1, 1], [0, 0, 0, 0, 0, 0, 1], [1, 0, 0, 0, 1, 1, 1], [1, 1, 0, 1, 0, 1, 1], [1, 1, 0, 1, 1, 0, 1], [1, 1, 1, 1, 1, 1, 0]]",2.0,5.0,Y,"{0: 7, 1: 17, 2: 2, 3: 22, 4: 12, 5: 27, 6: 32}","{(0, 3): 1, (0, 4): 1, (0, 5): 1, (0, 6): 4, (1, 4): 1, (1, 5): 13, (1, 6): 2, (2, 6): 2, (3, 4): 1, (3, 5): 1, (3, 6): 19, (4, 5): 8, (4, 6): 1, (5, 6): 3}",1752.000000010412
71,Graph with 7 nodes and 7 edges,"[[0, 0, 0, 0, 1, 0, 1], [0, 0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 1, 0], [1, 1, 0, 0, 0, 0, 1], [0, 0, 1, 1, 0, 0, 1], [1, 0, 0, 0, 1, 1, 0]]",3.0,8.0,Y,"{0: 19, 1: 3, 2: 27, 3: 11, 4: 35, 5: 51, 6: 43}","{(0, 4): 10, (0, 6): 8, (1, 4): 3, (2, 5): 27, (3, 5): 11, (4, 6): 21, (5, 6): 13}",2338.9999999778865
873,Graph with 7 nodes and 12 edges,"[[0, 0, 0, 1, 1, 0, 0], [0, 0, 0, 1, 0, 1, 1], [0, 0, 0, 0, 1, 1, 1], [1, 1, 0, 0, 0, 1, 1], [1, 0, 1, 0, 0, 1, 1], [0, 1, 1, 1, 1, 0, 0], [0, 1, 1, 1, 1, 0, 0]]",3.0,3.0,Y,"{0: 3, 1: 9, 2: 21, 3: 6, 4: 18, 5: 12, 6: 15}","{(0, 3): 1, (0, 4): 2, (1, 3): 1, (1, 5): 1, (1, 6): 7, (2, 4): 11, (2, 5): 6, (2, 6): 4, (3, 5): 1, (3, 6): 3, (4, 5): 4, (4, 6): 1}",3441.0000000093532
533,Graph with 7 nodes and 11 edges,"[[0, 0, 0, 1, 1, 1, 1], [0, 0, 0, 0, 1, 0, 1], [0, 0, 0, 0, 0, 1, 1], [1, 0, 0, 0, 0, 0, 1], [1, 1, 0, 0, 0, 1, 1], [1, 0, 1, 0, 1, 0, 0], [1, 1, 1, 1, 1, 0, 0]]",3.0,5.0,Y,"{0: 23, 1: 8, 2: 18, 3: 13, 4: 28, 5: 3, 6: 33}","{(0, 3): 12, (0, 4): 8, (0, 5): 1, (0, 6): 2, (1, 4): 7, (1, 6): 1, (2, 5): 1, (2, 6): 17, (3, 6): 1, (4, 5): 1, (4, 6): 12}",1902.9999999986558
1177,Graph with 7 nodes and 14 edges,"[[0, 0, 1, 0, 1, 1, 1], [0, 0, 0, 1, 1, 1, 1], [1, 0, 0, 0, 1, 1, 1], [0, 1, 0, 0, 0, 1, 1], [1, 1, 1, 0, 0, 0, 0], [1, 1, 1, 1, 0, 0, 1], [1, 1, 1, 1, 0, 1, 0]]",3.0,3.0,Y,"{0: 21, 1: 15, 2: 18, 3: 12, 4: 3, 5: 9, 6: 6}","{(0, 2): 15, (0, 4): 1, (0, 5): 4, (0, 6): 1, (1, 3): 10, (1, 4): 1, (1, 5): 2, (1, 6): 2, (2, 4): 1, (2, 5): 1, (2, 6): 1, (3, 5): 1, (3, 6): 1, (5, 6): 1}",1183.9999999665451
1175,Graph with 7 nodes and 14 edges,"[[0, 0, 1, 0, 1, 1, 1], [0, 0, 0, 1, 1, 1, 1], [1, 0, 0, 0, 1, 1, 1], [0, 1, 0, 0, 0, 1, 1], [1, 1, 1, 0, 0, 0, 0], [1, 1, 1, 1, 0, 0, 1], [1, 1, 1, 1, 0, 1, 0]]",3.0,1.0,Y,"{0: 9, 1: 4, 2: 7, 3: 5, 4: 3, 5: 8, 6: 6}","{(0, 2): 4, (0, 4): 1, (0, 5): 3, (0, 6): 1, (1, 3): 1, (1, 4): 1, (1, 5): 1, (1, 6): 1, (2, 4): 1, (2, 5): 1, (2, 6): 1, (3, 5): 2, (3, 6): 2, (5, 6): 1}",369.9999999753345
388,Graph with 7 nodes and 10 edges,"[[0, 0, 0, 1, 0, 1, 1], [0, 0, 0, 0, 1, 1, 1], [0, 0, 0, 0, 0, 1, 1], [1, 0, 0, 0, 0, 1, 0], [0, 1, 0, 0, 0, 0, 1], [1, 1, 1, 1, 0, 0, 0], [1, 1, 1, 0, 1, 0, 0]]",4.0,2.0,Y,"{0: 6, 1: 10, 2: 8, 3: 12, 4: 4, 5: 14, 6: 16}","{(0, 3): 4, (0, 5): 1, (0, 6): 1, (1, 4): 1, (1, 5): 4, (1, 6): 5, (2, 5): 1, (2, 6): 7, (3, 5): 8, (4, 6): 3}",458.00000000895125
36,Graph with 7 nodes and 9 edges,"[[0, 0, 0, 0, 1, 1, 1], [0, 0, 0, 0, 0, 1, 1], [0, 0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 0, 1], [1, 0, 0, 0, 0, 1, 1], [1, 1, 1, 0, 1, 0, 0], [1, 1, 0, 1, 1, 0, 0]]",2.0,8.0,Y,"{0: 10, 1: 2, 2: 42, 3: 26, 4: 18, 5: 50, 6: 34}","{(0, 4): 7, (0, 5): 2, (0, 6): 1, (1, 5): 1, (1, 6): 1, (2, 5): 42, (3, 6): 26, (4, 5): 5, (4, 6): 6}",1065.0000000111959
972,Graph with 7 nodes and 12 edges,"[[0, 0, 0, 1, 1, 1, 1], [0, 0, 0, 1, 1, 1, 1], [0, 0, 0, 0, 1, 0, 1], [1, 1, 0, 0, 0, 1, 0], [1, 1, 1, 0, 0, 0, 1], [1, 1, 0, 1, 0, 0, 0], [1, 1, 1, 0, 1, 0, 0]]",2.0,3.0,Y,"{0: 5, 1: 20, 2: 2, 3: 14, 4: 8, 5: 11, 6: 17}","{(0, 3): 1, (0, 4): 1, (0, 5): 1, (0, 6): 2, (1, 3): 6, (1, 4): 1, (1, 5): 3, (1, 6): 9, (2, 4): 1, (2, 6): 1, (3, 5): 6, (4, 6): 5}",986.0000000116997
109,Graph with 7 nodes and 9 edges,"[[0, 0, 0, 0, 1, 1, 1], [0, 0, 0, 0, 1, 1, 0], [0, 0, 0, 0, 0, 1, 1], [0, 0, 0, 0, 0, 0, 1], [1, 1, 0, 0, 0, 0, 1], [1, 1, 1, 0, 0, 0, 0], [1, 0, 1, 1, 1, 0, 0]]",2.0,1.0,Y,"{0: 5, 1: 4, 2: 3, 3: 2, 4: 7, 5: 6, 6: 8}","{(0, 4): 1, (0, 5): 3, (0, 6): 1, (1, 4): 2, (1, 5): 1, (2, 5): 1, (2, 6): 1, (3, 6): 2, (4, 6): 3}",1525.0000000150976
904,Graph with 7 nodes and 13 edges,"[[0, 0, 0, 1, 1, 1, 1], [0, 0, 0, 1, 0, 1, 1], [0, 0, 0, 0, 1, 1, 1], [1, 1, 0, 0, 0, 1, 0], [1, 0, 1, 0, 0, 0, 1], [1, 1, 1, 1, 0, 0, 1], [1, 1, 1, 0, 1, 1, 0]]",4.0,7.0,Y,"{0: 11, 1: 25, 2: 18, 3: 32, 4: 4, 5: 39, 6: 46}","{(0, 3): 8, (0, 4): 1, (0, 5): 1, (0, 6): 1, (1, 3): 23, (1, 5): 1, (1, 6): 1, (2, 4): 1, (2, 5): 5, (2, 6): 11, (3, 5): 1, (4, 6): 2, (5, 6): 30}",1167.9999999500978
362,Graph with 7 nodes and 9 edges,"[[0, 0, 0, 1, 0, 1, 1], [0, 0, 0, 0, 1, 1, 0], [0, 0, 0, 0, 0, 1, 1], [1, 0, 0, 0, 0, 0, 1], [0, 1, 0, 0, 0, 0, 1], [1, 1, 1, 0, 0, 0, 0], [1, 0, 1, 1, 1, 0, 0]]",4.0,3.0,Y,"{0: 22, 1: 13, 2: 4, 3: 16, 4: 10, 5: 7, 6: 19}","{(0, 3): 10, (0, 5): 1, (0, 6): 10, (1, 4): 9, (1, 5): 4, (2, 5): 2, (2, 6): 2, (3, 6): 5, (4, 6): 1}",1151.0000000214404
1003,Graph with 7 nodes and 13 edges,"[[0, 0, 0, 1, 1, 1, 1], [0, 0, 0, 1, 1, 1, 1], [0, 0, 0, 0, 1, 0, 1], [1, 1, 0, 0, 0, 1, 1], [1, 1, 1, 0, 0, 0, 0], [1, 1, 0, 1, 0, 0, 1], [1, 1, 1, 1, 0, 1, 0]]",2.0,7.0,Y,"{0: 9, 1: 44, 2: 2, 3: 30, 4: 16, 5: 23, 6: 37}","{(0, 3): 1, (0, 4): 1, (0, 5): 1, (0, 6): 6, (1, 3): 23, (1, 4): 14, (1, 5): 1, (1, 6): 5, (2, 4): 1, (2, 6): 1, (3, 5): 1, (3, 6): 4, (5, 6): 20}",2058.000000033644
351,Graph with 7 nodes and 9 edges,"[[0, 0, 0, 1, 0, 1, 1], [0, 0, 0, 0, 1, 1, 0], [0, 0, 0, 0, 0, 1, 1], [1, 0, 0, 0, 0, 0, 1], [0, 1, 0, 0, 0, 0, 1], [1, 1, 1, 0, 0, 0, 0], [1, 0, 1, 1, 1, 0, 0]]",3.0,1.0,Y,"{0: 8, 1: 7, 2: 3, 3: 5, 4: 6, 5: 4, 6: 9}","{(0, 3): 3, (0, 5): 1, (0, 6): 4, (1, 4): 5, (1, 5): 2, (2, 5): 1, (2, 6): 2, (3, 6): 2, (4, 6): 1}",1121.000000011918
121,Graph with 7 nodes and 9 edges,"[[0, 0, 0, 0, 1, 1, 1], [0, 0, 0, 0, 1, 1, 0], [0, 0, 0, 0, 0, 1, 1], [0, 0, 0, 0, 0, 0, 1], [1, 1, 0, 0, 0, 0, 1], [1, 1, 1, 0, 0, 0, 0], [1, 0, 1, 1, 1, 0, 0]]",3.0,4.0,Y,"{0: 19, 1: 11, 2: 15, 3: 3, 4: 7, 5: 23, 6: 27}","{(0, 4): 1, (0, 5): 1, (0, 6): 16, (1, 4): 1, (1, 5): 10, (2, 5): 12, (2, 6): 3, (3, 6): 3, (4, 6): 4}",2031.0000000165473
7,Graph with 7 nodes and 7 edges,"[[0, 0, 0, 0, 1, 0, 1], [0, 0, 0, 0, 0, 1, 1], [0, 0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 1, 0], [1, 0, 0, 0, 0, 0, 1], [0, 1, 1, 1, 0, 0, 0], [1, 1, 0, 0, 1, 0, 0]]",2.0,6.0,Y,"{0: 38, 1: 8, 2: 20, 3: 2, 4: 32, 5: 26, 6: 14}","{(0, 4): 30, (0, 6): 8, (1, 5): 4, (1, 6): 4, (2, 5): 20, (3, 5): 2, (4, 6): 2}",1933.0000000081782
755,Graph with 7 nodes and 11 edges,"[[0, 0, 0, 1, 1, 0, 1], [0, 0, 0, 0, 1, 1, 0], [0, 0, 0, 0, 1, 1, 0], [1, 0, 0, 0, 0, 1, 1], [1, 1, 1, 0, 0, 0, 1], [0, 1, 1, 1, 0, 0, 1], [1, 0, 0, 1, 1, 1, 0]]",4.0,2.0,Y,"{0: 6, 1: 8, 2: 10, 3: 12, 4: 14, 5: 16, 6: 4}","{(0, 3): 3, (0, 4): 2, (0, 6): 1, (1, 4): 2, (1, 5): 6, (2, 4): 9, (2, 5): 1, (3, 5): 8, (3, 6): 1, (4, 6): 1, (5, 6): 1}",1739.9999999838656
